"district","school","enroll","mmr_pct","mmr_partial","mmr_nonmedical","notes","MMR_pct_vac","MMR_pct_nodoses","MMR_pct_nonmedical","category"
"HUTCHINSON","IMMANUEL LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"INTERMEDIATE SCHOOL DISTRICT 287","NORTH EDUCATION CENTER - SUN",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"JANESVILLE-WALDORF-PEMBERTON","TRINITY LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",1,0,0,"95 and above"
"KINGSLAND","ST JOHNS LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"LEAF RIVER ACADEMY","LEAF RIVER ACADEMY",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"MARSHALL","SAMUEL LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",1,0,0,"95 and above"
"MID STATE EDUCATION DISTRICT","MORRISON COUNTY LEARNING CENTER",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"MILROY","MILROY JR.",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"MURRAY COUNTY CENTRAL","CHANDLER CHRISTIAN",NA,NA,NA,NA,"Enrollment < 5",1,0,0,"95 and above"
"NASHA SHKOLA","NASHA SHKOLA",NA,NA,NA,NA,"Enrollment < 5",0.48,0.3913,0.1304,"very low"
"NICOLLET","TRINITY LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",0.6,0.2,0.2,"very low"
"NORWOOD","ZION LUTHERAN-COLOGNE",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"PEM","IMMANUEL LUTHERAN SCHOOL",NA,NA,NA,NA,"Enrollment < 5",0.82,0.1818,0,"very low"
"ROCHESTER","SEEDS OF WISDOM",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"ROSEMOUNT-APPLE VALLEY-EAGAN","BEREA LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"ROSEVILLE","HAND IN HAND CHRISTIAN MONTESSORI",NA,NA,NA,NA,"Enrollment < 5",0.7,0.0333,0.2667,"very low"
"SIBLEY EAST","IMMANUEL LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",0.83,0.1667,0,"very low"
"SLEEPY EYE","ST JOHNS LES",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"SOUTH WASHINGTON COUNTY","HOPE CHRISTIAN ACADEMY",NA,NA,NA,NA,"Enrollment < 5",0.8,0.2,0,"very low"
"ST. CLOUD","GRANITE CITY BAPTIST ACADEMY",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"ST. CLOUD","IMMACULATE CONCEPTION",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"ST. CLOUD","NORTHLAND CHRISTIAN SCHOOL",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"ST. FRANCIS","CROWN CHRISTIAN SCHOOL",NA,NA,NA,NA,"Enrollment < 5",0.73,0,0.2727,"very low"
"ST. PAUL","ST. PETER CLAVER CATHOLIC",NA,NA,NA,NA,"Enrollment < 5",0.91,0.0909,0,"low(85-95)"
"ST. PETER","ST PETER EVANGELICAL LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"STILLWATER","ST CROIX MONTESSORI",NA,NA,NA,NA,"Enrollment < 5",0,1,0,"very low"
"TRI-COUNTY","HERITAGE CHRISTIAN",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"TRUMAN","ST PAULS LUTHERAN-TRUMAN",NA,NA,NA,NA,"Enrollment < 5",1,0,0,"95 and above"
"WALKER-HACKENSACK-AKELEY","IMMANUEL LUTHERAN SCHOOL",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"WEST ST. PAUL-MENDOTA HTS.-EAGAN","TRINITY LONE OAK LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",1,0,0,"95 and above"
"WHITE BEAR LAKE","FIRST LUTHERAN MAGNESON SCHOOL",NA,NA,NA,NA,"Enrollment < 5",0.94,0,0.0588,"low(85-95)"
"WINONA AREA PUBLIC SCHOOLS","ST MARTINS LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",0.78,0.2222,0,"very low"
"ZUMBRO EDUCATION DISTRICT","ZUMBRO ED DIST FUTURES/CHOICES",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"ZUMBROTA-MAZEPPA","CHRIST LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",1,0,0,"95 and above"
